Species,Tissue,CellType,Marker,Resource
Human,Thymus,Mesenchymal cell,PDGFRB,35371075
Human,Thymus,Migratory DC,"CCL19, CCR7, EBI3",35549406
Human,Thymus,Monocyte,"FCN1, LYZ, S100A9",35549406
Human,Thymus,Mononuclear phagocyte,"C1QC, HMOX1, TYROBP",35549406
Human,Thymus,Myeloid dendritic cell,ITGAX,24084687
Human,Thymus,Naive B cell,"IGHD, IGHM, TCL1A",35549406
Human,Thymus,Natural killer cell,"GNLY, NKG7, XCL2",35549406
Human,Thymus,Neutrophil progenitor cell,"LYZ, MPO, SERPINB1",35549406
Human,Thymus,Non-classical monocyte,"C1QA, CX3CR1, FCGR3A",35549406
Human,Thymus,Plasmablast,"JCHAIN, MZB1, XBP1",35549406
Human,Thymus,"Plasmacytoid dendritic cell, human","IL3RA, LILRA4, PLD4",35549406
Human,Thymus,Pro-B cell,"DNTT, IGLL1, MME",35549406
Human,Thymus,Regulatory T cell,"BIRC3, CCR7, CD27, CTLA4, FOXP3, IKZF4, IL2RA, MIR155HG, SMS",35549406
Human,Thymus,Small pre-B cell,"CD24, IGLL5, MME",35549406
Human,Thymus,T cell,"CD3D, CD3E, CD3G, CD4, CD5, CD8A, GNG4, PDCD1, THY1, ZNF683","35549406, 1884396"
Human,Thymus,T follicular helper cell,"CXCR5, ICOS, PDCD1",35549406
Human,Thymus,T-helper 17 cell,"CCR6, IL7R, ZBTB16",35549406
Human,Thymus,Thymic epithelial progenitor cell,"EYA1, HOXA3, KRT8",34331993
Human,Thymus,Thymocyte,"ACY3, CD34, SPINK2",35549406
Human,Thymus,Type 1 conventional dendritic cell,"BATF3, CADM1, CLEC9A",35549406
Human,Thymus,Type 2 conventional dendritic cell,"CD1C, CLEC10A, FCER1A",35549406
Human,Right cardiac atrium,Cardiac muscle myoblast,GPR4,30874584
Human,Intestine,Alpha-beta T cell,"FOXP3, IL17A",20952660
Human,Intestine,B cell,"BANK1, CD19, CD79A, CD79B, IGHD, MS4A1, MZB1","35549406, 35338007, 33406409"
Human,Intestine,"CD4-positive, alpha-beta T cell","CD3D, CD3E, CD3G, CD4",35338007
Human,Intestine,"CD8-positive, alpha-beta T cell","CD3D, CD3E, CD3G, CD8A, CD8B",35338007
Human,Intestine,"Central memory CD4-positive, alpha-beta T cell","CCR7, CD4, SELL",35549406
Human,Intestine,"Central memory CD8-positive, alpha-beta T cell","CCR7, CD8A, SELL",35549406
Human,Intestine,Dendritic cell,"BATF3, CD1D, CD207",33406409
Human,Intestine,Early lymphoid progenitor,"ETS1, GATA3, IL32",35549406
Human,Intestine,"Effector memory CD4-positive, alpha-beta T cell","AQP3, ITGB1, KLRB1",35549406
Human,Intestine,"Effector memory CD8-positive, alpha-beta T cell","CCL5, CD8A, CXCR6, GZMK, ITGA1, ITGAE",35549406
Human,Intestine,Endothelial cell,"CDH5, CD34, CLDN5, KDR, MCAM, PECAM1, PROM1, PTPRC","33278341, 35649411, 25591800"
Human,Intestine,Endothelial cell of artery,"AFG1L, CHST1, DLL4, EDNRB, GJA5, HEY1, IGFBP3, ITGB4, LGALS1, PRND, UNC5B, VWA1",33406409
Human,Intestine,Enterochromaffin-like cell,"CHGA, RXFP4, TPH1",33406409
Human,Intestine,Enterocyte,"ALPI, FABP2, SLC26A3, TMEM37",31753849
Human,Intestine,Enteroendocrine cell,"CHGA, CHGB, CPE, NEUROD1, PYY, REG4",31753849
Human,Intestine,Eosinophil,"CPA3, MS4A2, TPSAB1",33406409
Human,Intestine,Epithelial cell,"EPCAM, ALPI, CDH1, CDX2, CLDN4","33278341, 35649411, 35338007"
Human,Intestine,Fibroblast,COL1A1,35649411
Human,Intestine,Gamma-delta T cell,"CD8A, IL2RB, TRDC",33406409
Human,Intestine,Glial cell,"GFRA3, APOE, BCAN, CCN2, CEBPD, ENTPD2, FGL2, HMGA2, LAMP5, PHOX2B, RXRG, SOCS3, SOX6, SPRY1, ZFP36","35649411, 33406409"
Human,Intestine,Goblet cell,"SPINK4, WFDC2, ATOH1, CLCA1, FFAR4, MKI67, MUC2, MYC, PBK, PTGDR, SPDEF, TFF3, TRABD2A, UBE2C, ZG16","31753849, 33406409"
Human,Intestine,Inhibitory motor neuron,"ETV1, HTR2B, NOS1, VIP",33406409
Human,Intestine,Inner muscularis cell,"AHNAK2, HMGCS1, HOXC8, IGF1, IGFBP2, IGFBP7, KRT17, MORN5, MOXD1, NPNT, PLCG2, PLN, PMAIP1, PNCK, TMEM158",33406409
Human,Intestine,Interneuron,"ACHE, ONECUT2, PENK, TAC1",33406409
Human,Intestine,Interstitial cell of Cajal,"ANO1, ETV1, SPON2",33406409
Human,Intestine,Intestinal crypt stem cell,"DCLK1, PHLDA1","21558389, 19676123"
Human,Intestine,Intestinal tuft cell,"GFI1B, POU2F3, TRPM5",31753849
Human,Intestine,Leydig cell,"BMP4, ITGA8, PDGFRA",33406409
Human,Intestine,Macrophage,"C1QA, C1QB, CD68, FGL2, FOLR2, HES1, RNASE1, SLC40A1, SPP1, TREM2","35549406, 35338007, 33406409"
Human,Intestine,Mast cell,"CPA3, TPSAB1, TPSB2",35549406
Human,Intestine,Mesenchymal cell,"ACTA2, COL1A1, COL1A2, DCN, MYLK, TAGLN",33278341
Human,Intestine,Mesothelial cell,"GATA6, HPGD, IL18, SOX6, STX2, WNT10A",33406409
Human,Intestine,Monocyte,"CLEC12A, FCN1, S100A8",33406409
Human,Intestine,Mononuclear phagocyte,"FGL2, HLA-DPA1, HLA-DQA1",35549406
Human,Intestine,Mucosal invariant T cell,"KLRB1, SLC4A10, TRAV1-2",35549406
Human,Intestine,Muscle precursor cell,"HOXC5, MYOCD, PLPP2",33406409
Human,Intestine,Myeloid dendritic cell,"ADGRE1, CCR7, CD1A, CD1B, CD1C, CD207, CD209, CD4, CD40, CD80, CD83, CD86, HLA-DR family, ITGA4, ITGAM, ITGAX, LY75, MHC Class II, NRP1, PDCD1LG2",Company
Human,Intestine,Myofibroblast cell,"ACTA2, MYH11, ADAM28, ADAMDEC1, GREM2, MFAP4, MYL9","35649411, 33406409"
Human,Intestine,Naive T cell,"CD27, CD3D, CD3G",33406409
Human,Intestine,Natural killer cell,"GNLY, NKG7, CD160, CD8A, IL2RB, TRDC, XCL2","35549406, 33406409"
Human,Intestine,Neuron,"ELAVL4, SCGN, ADCYAP1, CASZ1, CRABP1, DGKG, DLL1, DLL3, GFRA2, KCTD16, NEUROD6, NOS1, NPY2R, PLP1, RAMP1, S100B, SST, SSTR2, STMN2, VIP","33278341, 33406409"
Human,Intestine,Paneth cell,"DEFA5, DEFA6, IL9, PRSS2","33406409, 19342650"
Human,Intestine,Pericyte,"THBS1, CYGB, GPAT2, WNT6, ACTA2, ADIRF, BMPER, CEBPD, MBP, MYH11, NFKBIA, SPON2, TESC",33406409
Human,Intestine,Plasma cell,JCHAIN,35649411
Human,Intestine,Plasmablast,"JCHAIN, MZB1, XBP1",35549406
Human,Intestine,Plasmacytoid dendritic cell,"IL3RA, LILRA4, PTCRA",33406409
Human,Intestine,Precursor B cell,"IGLL1, RAG1, VPREB1",33406409
Human,Intestine,Progenitor cell,"CDK6, CLPS, FABP5, HMGA2, LCN2, MBP, MDK, MUC4, NEUROG3, PLA2G2A, SOX9, THY1","31753849, 33406409, 34239074"
Human,Intestine,Regulatory T cell,"BIRC3, CCR7, CD27, CTLA4, FOXP3, IKZF4, IL2RA, MIR155HG, SMS",35549406
Human,Intestine,Secretory progenitor cell,"GHRL, ISL1, NEUROG3",33406409
Human,Intestine,Stem cell,"LGR5, SMOC2, ALCAM, ASCL2, BMI1, CASP1, GRIA4, LEFTY1, PLA2G2A, PTGDR, RGMB","31753849, 33406409, 20826154, 16874656, 27704362"
Human,Intestine,T cell,"CD3D, CD3E, CD3G, GNG4, PDCD1, ZNF683","35549406, 11171826"
Human,Intestine,T follicular helper cell,"CXCR5, ICOS, PDCD1",35549406
Human,Intestine,T-helper 1 cell,"CCL5, CXCR3, TBX21",35549406
Human,Intestine,T-helper 17 cell,"CCR6, IL7R, ZBTB16",35549406
Human,Intestine,Transit amplifying cell,"CCNA2, CENPM, HMGB3, MCM5, MND1, PCNA, TACC3, TK1, TOP2A, UBE2T","31753849, 33406409"
Human,Intestine,Type A enteroendocrine cell,"CLEC4G, GHRL, MLN",33406409
Human,Intestine,Type D enteroendocrine cell,"HHEX, PCP4, SST",33406409
Human,Intestine,Type I enteroendocrine cell,"CCK, GC, TDO2",33406409
Human,Intestine,Type L enteroendocrine cell,"GCG, PYY, UCN3",33406409
Human,Intestine,Type M enteroendocrine cell,"CLEC4G, GHRL, MLN",33406409
Human,Intestine,Type N enteroendocrine cell,"HOPX, MEP1A, NTS",33406409
Human,Intestine,Vein endothelial cell,"ACKR1, ADGRG6, APLNR, CALCRL, CCL2, CD69, JUNB, LDHB, LRG1, PLVAP, PRCP, RGCC, STMN1, VWF, ZFP36",33406409
Human,Large intestine,Enteroendocrine cell,"ADAMTSL3, FRAS1, MFSD11",29802404
Human,Large intestine,Goblet progenitor cell,"ARL14, ATP6V1H, C16orf87, CHKB, CHST5, FOXA3, GALNT5, GPRIN2, ICA1, KIAA1324, NFX1, PURA, REG4, SLC39A7, SPINK4, TSPAN15, WFDC2, ZG16B",29802404
Human,Large intestine,Progenitor cell,"ALCAM, ARMC9, CCBE1, GJC1, MEIS3, PART1, PTGES3L, RAB9B, SGCA",29802404
Human,Adrenal medulla,Chromaffin cell,"ASCL1, CHGA, DBH, DDC, ERBB4, TH",33767450
Human,Adrenal medulla,Neural crest derived neuroblast,"CDH19, ERBB3, PLP1, SOX10",33767450
Human,Adrenal medulla,Neuroblast (sensu Vertebrata),"ALK, GAP43, ISL1, NEFM, PRPH, STMN2",33767450
Human,Adrenal medulla,Schwann cell,"MBP, PMP22, S100A1, S100A10, S100A11, S100A12, S100A13, S100A14, S100A15A, S100A16, S100A2, S100A3, S100A4, S100A5, S100A6, S100A7, S100A7A, S100A7L2, S100A7P1, S100A7P2, S100A8, S100A9, S100B, S100G, S100P, S100Z",33767450
Human,Adrenal medulla,Schwann cell precursor,"CDH19, ERBB3, PLP1, SOX10",33767450
Human,Adrenal medulla,Sympathetic neuron,"ALK, NEFM, STMN2, SYN3",33767450
Human,Olfactory epithelium,Ciliated cell,GSTA2,33251489
Human,Olfactory epithelium,Mature olfactory receptor cell,"ANO2, CNGA2",33251489
Human,Olfactory epithelium,Nasopharyngeal epithelial cell,GSTA2,33251489
Human,Olfactory epithelium,Olfactory epithelial supporting cell,"ERMN, ACE2, OMP, TMPRSS2",33251489
Human,Dorsolateral prefrontal cortex,Glutamatergic neuron,"BDNF, CAMK2A, TBR1",12513943
Human,Dorsolateral prefrontal cortex,Leydig cell,DECR1,12513943
Human,Palmar part of manus,Endothelial cell,"CD34, ICAM1, PECAM1",35320046
Human,Palmar part of manus,Myofibroblast cell,CD82,35320046
Human,Palmar part of manus,Pericyte,"ACTA2, ITGB1, MCAM",35320046
Human,Renal glomerulus,Dendritic cell,"CD1C, CD1E, CLEC10A, FCER1A",33936064
Human,Renal glomerulus,Endothelial cell,"ACKR1, CLDN5, PECAM1, VWF",33936064
Human,Renal glomerulus,Epithelial cell,"ALDOB, CALB1, CUBN, EZR, LRP2, SLC12A3, SLC13A1, SLC8A1","33936064, 9853258"
Human,Renal glomerulus,Fibroblast,"COL1A1, DCN, LUM",33936064
Human,Renal glomerulus,Kidney loop of Henle epithelial cell,"CLDN16, SLC12A1, UMOD",33936064
Human,Renal glomerulus,Macrophage,"C1QA, C1QB, CD68, LYZ, MRC1",33936064
Human,Renal glomerulus,Mesangial cell,"CCN2, FHL2, FN1, MYL9",33936064
Human,Renal glomerulus,Monocyte,"CD14, FCN1, LYZ, VCAN",33936064
Human,Renal glomerulus,Podocyte,EZR,9853258
Human,Renal glomerulus,Renal intercalated cell,"ATP6V1G3, SLC26A7, SLC4A1",33936064
Human,Renal glomerulus,Renal principal cell,"AQP2, AQP3",33936064
Human,Renal glomerulus,Smooth muscle cell,"ACTA2, MYH11, MYLK, TAGLN",33936064
Human,Epithelium of small intestine,Epithelial cell,VIL1,30472010
Human,Fetal liver,Adult endothelial progenitor cell,"FLT1, KDR, PROM1, TEK",16026547
Human,Fetal liver,B cell,"CD19, CD79A, MS4A1, CD24, CD74, CD79B, HLA-DRA","32214235, 33352111, 33253297, 10989197, 3871452"
Human,Fetal liver,Cholangiocyte,"KRT19, SOX9, CD24, CD44, CLDN4, EPCAM, KRT7, MUC1, MUC3A, MUC5B, ONECUT2, SPP1, TACSTD2, TMEM45B",31350390
Human,Fetal liver,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Fetal liver,Endothelial cell,FLT1,28614297
Human,Fetal liver,Epithelial cell,"AFP, EPCAM",33340451
Human,Fetal liver,Erythroblast,GYPA,28614297
Human,Fetal liver,Erythrocyte,"HBA1, AHSP, GYPA, HBA2, ALAS2, HBB, HBG1, HBG2, HBM, KLF1","32214235, 33352111, 33340451"
Human,Fetal liver,Erythroid progenitor cell,"AHSP, BLVRB, NPM1, UROD",32214235
Human,Fetal liver,Fetal hepatobiliary progenitor cell,STAT1,31350390
Human,Fetal liver,Germinal center B cell,"CD81, ELL3, IL4R, TCL1A",33253297
Human,Fetal liver,Granulocyte,"AZU1, MPO, PRTN3",33352111
Human,Fetal liver,Granulocyte monocyte progenitor cell,"CD14, CD33, CD34, GATA1, GATA2, MPEG1","33352111, 33340451"
Human,Fetal liver,Hepatic stem cell,"ALPG, CLDN3, HLA Class I, HLA class II, ITGB1, NOTCH3, THY1","31350390, 22680933, 16769813, 16026547"
Human,Fetal liver,Hepatoblast,"AFP, DLK1",31350390
Human,Fetal liver,Hepatocyte,"AFP, AHSG, Albumin family, APOA2, APOC3, APOE, APOH, CYP3A7, DLK1, FGFR2, FGL1, GPC3, KRT19, MET, ORM1, TF","31350390, 16026547, 28614297"
Human,Fetal liver,Kupffer cell,CD163,28614297
Human,Fetal liver,Mature cholangiocyte,"TFF1, TFF2",31350390
Human,Fetal liver,Megakaryocyte,"ITGA2B, CD9, FLI1, GP1BA, RNF130, SELP","33352111, 33340451"
Human,Fetal liver,Memory B cell,"CCR7, FCMR, PARP15, SELL",33253297
Human,Fetal liver,Mesenchymal cell,"ACTC1, COL1A2","33340451, 28614297"
Human,Fetal liver,Mesenchymal stem cell,"BSG, CD34, CD44, HLA-DR family, PTPRC, THY1",15619334
Human,Fetal liver,Monocyte,"CD14, CD33, MPEG1","32214235, 33352111"
Human,Fetal liver,Natural killer cell,"CD3D, CD96, IL2RB",33352111
Human,Fetal liver,Neutrophil,"ELANE, MPO, S100A8, S100A9, DEFA3, DEFA4, MMP8, RNASE2",32214235
Human,Fetal liver,Plasmacytoid dendritic cell,"IL3RA, IRF8, JCHAIN, MPEG1, MKI67",33352111
Human,Fetal liver,Precursor B cell,"CD24, CD79B, VPREB1",33352111
Human,Fetal liver,Primordial germ cell,POU5F1,32214235
Human,Fetal liver,Progenitor cell,"MCAM, SOX9, ABCB9, CDH6, CTNND2, CXCL2, FGFR2, GPRC5B, KRT19, PROM1, SLC12A2","31350390, 19845959"
Human,Fetal liver,Stem cell,"DLK1, THY1","20214740, 16769813"
Human,Fetal liver,T cell,"CD3D, CD3E, TRAC, TRBC1, TRBC2, CD7, PTPRC","32214235, 2459287"
Human,Amnion,Epithelial cell,"ALCAM, CD34, CDH1, Cytokeratin family, ITGB1, NANOG, PECAM1, POU5F1, PTPRC, THY1","16081662, 23031712, 29565036"
Human,Amnion,Mesenchymal cell,"ALCAM, ENG, NT5E, THY1",24907728
Human,Amnion,Mesenchymal stem cell,"CD44, CD34, ENG, NT5E, PTPRC","23211052, 26662130"
Human,Amnion,Stem cell,"TP63, ABCG2, VIM","26088849, 25495909, 25384970, 23067315"
Human,Amnion,Stromal cell,VIM,28346794
Human,Heart,B cell,"BCL11B, CD19, CD3D","35549429, 35258704, 35079076, 30759401"
Human,Heart,Capillary endothelial cell,APLNR,32810435
Human,Heart,Cardiac muscle cell,"MYH6, TNNT2, MYH7, ACTN1, ACTN2, GJA1, HCN4, NKX2-5, NPPA, TNNI3, AFP, BMP4, CMYA5, DES, EIF1B, FABP3, FGF12, GATA4, GATA6, GJA4, GJA5, HLA-C, KCNJ2, LRG1, MEF2C, MYBPC3, MYH family, MYL2, MYL3, NRAP, PML, SERPINA1, SGCA, SGCB, SGCE, SIRPA, TBX5, TDGF1, TNNT3, TTN","32810435, 35549429, 35183972, 35258704, 33718452, 31722692, 32001747, 35203611, 33236003, 35832197, 34422835, 36059490, 30759401, Company, 29574510, 27123009, 26708230, 25657056, 30412598"
Human,Heart,Cardiac myoblast,"APLNR, EOMES, ISL1, KDR, MEF2C","31722692, 32001747"
Human,Heart,Cardiac progenitor cell,"CASP3, ABCG2, CD34, ETV2, FUT4, GATA4, ISL1, ITGB1, KIT, KITLG, NKX2-5, SLC8A1, TBX18, WT1","Company, 25075536, 23807786"
Human,Heart,Cardioblast,"FLT1, FLT4, ISL1, NKX2-5",23056209
Human,Heart,CD14-positive monocyte,CD14,35549429
Human,Heart,"CD8-positive, alpha-beta cytotoxic T cell","CD8A, CD8B, GNLY",35549429
Human,Heart,Dendritic cell,"AQP9, CD1C, CD209, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1, ITGAE, ITGAM, ITGAX","35549429, 35258704, 32214235"
Human,Heart,Endocardial cell,"ADGRG6, CDH11, GATA5, HAPLN1, MSX1, NFATC1, NPR3, TBX20, TBX3","32810435, 35183972, 31028265"
Human,Heart,Endodermal cell,"FOXA2, SOX17",31722692
Human,Heart,Endothelial cell,"PECAM1, CDH5, VWF, EMCN, PLVAP, AQP1, CLDN5, ECSCR, EDN1, EGFL7, EPAS1, FLT1, HES1, HMGA1, IFI27, KDR, MCAM, PGF, RNASE1, SLC14A1, STOM, TEK, TIE1","32810435, 35549404, 35258704, 32214235, 33718452, 31722692, 32001747, 35203611, 35079076, 34422835, 31604922, 30759401, 10749731"
Human,Heart,Endothelial cell of artery,"GJA5, HEY1, JAG2, PRND","32810435, 35183972"
Human,Heart,Endothelial cell of lymphatic vessel,"LYVE1, PROX1, CCL21, FLT4, MMRN1, PDPN, RELN","32810435, 35549429, 34422835"
Human,Heart,Endothelial cell of vascular tree,"APLN, BACE2, CD300LG, CLDN5, EGFL7, EPHB4, LDB2, NOSTRIN, PECAM1, PTPRB, RAMP3, VWF","32810435, 35549429"
Human,Heart,Fat cell,"ACSL1, ADIPOQ, EBF1, FOXO1, G0S2, GHR, LPIN1, PLIN1, PLIN2, PPARG",35549429
Human,Heart,Fibroblast,"DCN, COL1A1, COL1A2, FBLN1, FN1, PDGFRA, THY1, COL3A1, COL5A1, DDR2, GSN, ACAN, ACTA2, ALDH1A2, CCDC80, CCN2, CKAP4, COL18A1, COL4A1, COL5A2, COL6A1, COL6A2, COL6A3, COL6A6, CPA4, ENC1, FBLN2, FBN1, FLNA, HGF, IGFBP2, IGFBP3, IGFBP5, IL33, IL6, KRT17, KRT18, LUM, MGP, NEGR1, POSTN, S100A4, SERPINE2, SLIT2, SOX9, TAGLN, VCAN, VIM","33287869, 35549429, 35258704, 32214235, 33718452, 31028265, 35203611, 35832197, 35079076, 31604922, 30759401, 29386203"
Human,Heart,Glioblast (sensu Vertebrata),"CD9, TDGF1",31028265
Human,Heart,Granulocyte,"HP, ITLN1",33718452
Human,Heart,Heart valve cell,MMP13,16534030
Human,Heart,Helper T cell,"CD4, IL7R",35549429
Human,Heart,Macrophage,"CD163, CD68, CD74, C1QA, CSF1R, LYZ, MRC1, MS4A4A, AIF1, C1QB, CD36, CPM, FCER1G, FCGR1A, IL1B, LYVE1, MERTK, MR1, MS4A6A, MSR1, PTPRC, RBPJ, S100A6, S100A8, SELENOP, SLC11A1","33287869, 35549429, 35183972, 35258704, 32214235, 35203611, 33236003, 33969404, 35832197, 35079076, 30759401"
Human,Heart,Mast cell,"KIT, TPSAB1, CD69, FCER1A, HDC, TPSB2","35549429, 35183972, 35258704, 35079076, 30759401"
Human,Heart,Memory B cell,"CD1C, CD24, CR2, CXCR3, FAS, MS4A1",35549429
Human,Heart,Mesenchymal stem cell,CDH2,23899519
Human,Heart,Mesodermal cell,"EOMES, FOXA2, MIXL1, SOX17, TBXT",31722692
Human,Heart,Mesothelial cell,WT1,35258704
Human,Heart,Mesothelial cell of epicardium,"WT1, TBX18, UPK3B, ALDH1A2, CFB, EFEMP1, ITLN1, MSLN","35183972, 35832197, 31604922, 30759401"
Human,Heart,Monocyte,"CD14, CD68, FCGR3A, LYZ, S100A6, S100A8","33287869, 35549429, 32214235, 35832197"
Human,Heart,Myoblast,"ALAS2, HBA1, HBA2, HBB",33969404
Human,Heart,Myofibroblast cell,"POSTN, COL5A2, COL6A3, CPE, ENPEP, FOS, JUNB, NR4A1, PALLD","35549429, 32001747, 33969404, 35079076"
Human,Heart,Naive B cell,"CD69, CD80, CD86, FCER2",35549429
Human,Heart,Natural killer cell,"GNLY, NKG7, CD79A","33287869, 35549429, 35258704, 35832197, 35079076"
Human,Heart,Neuron,NRXN1,"35258704, 35079076"
Human,Heart,Pericyte,"MCAM, MYO1B, NOTCH3, PDGFRB, RGS5, ABCC9, ACTA2, ANPEP, CSPG4, DES, HIGD1B, KCNJ8, TAGLN","35549429, 35258704, 35079076, 35722109"
Human,Heart,Pluripotent stem cell,DPPA4,32001747
Human,Heart,Progenitor cell,GATA6,33236003
Human,Heart,Regular ventricular cardiac myocyte,"ACTC1, DES, MB, MYBPC3, MYH7, MYL2, MYOM1, NEBL, NPPA, NPPB, RYR2, TNNC2, TNNI3, TNNT2, TPM1, TTN",35549429
Human,Heart,Smooth muscle cell,"MYH11, ACTA2, TAGLN, CNN1, MYL9, ACTG2, ACTN1, ADIRF, CALD1, CDH5, CEMIP, CPZ, DES, FOS, FTL, GREM1, GUCY1A1, GUCY1B1, HEXIM1, HRH2, MLNR, MYOCD, NEAT1, NR4A1, PALLD, PDGFRL, RGS5, SCD, SFRP2, SMTN, TIMP3, TNFRSF11B, VCL","33287869, 35549429, 35258704, 32214235, 33718452, 35203611, 35079076, 30759401, Company"
Human,Heart,Stromal cell,"DCN, LUM, MGP",32214235
Human,Heart,T cell,"CD3D, CD247, CD3E, TRAC, TRBC1, CD3G, CD69, CD96, IL7R, NKG7, PTPRC, SKAP1, THEMIS, TRBC2","33287869, 35549429, 35183972, 35258704, 32214235, 35079076, 30759401"
Human,Heart,Valve cell,"DCN, SOX9","35183972, 30759401"
Human,Heart,Valvular endothelial cell,"FST, PROX1",32810435
Human,Esophagus,B cell,"CD79A, CD19, CD27, CD74, FCER2, IGHD, IGKC, MS4A1, TCL1A, TNFRSF13B","34192657, 35549429, 32214235, 31892341, 34414188, 32199615"
Human,Esophagus,Basal cell,"KRT5, KRT14, KRT15, DSG3, FOXP1, ITGA6, KRT13, KRT17, KRT6A, LAMA3, S100A2, SCPEP1, TP53, TP63","35549429, 32214235, 31892341, 32199615, 33691112"
Human,Esophagus,Blood vessel endothelial cell,"VWF, CCL21, DCN, ITGA6","31892341, 32199615"
Human,Esophagus,CD16-negative natural killer cell,"CD160, GNLY, NKG7",35549406
Human,Esophagus,CD16-positive natural killer cell,"FCGR3A, GNLY, NKG7",35549406
Human,Esophagus,"CD4-positive, alpha-beta T cell","CD4, FOXP3, IL2RA",34192657
Human,Esophagus,"CD8-positive, alpha-beta cytotoxic T cell","GNLY, CD8A, CD8B, GZMB, PRF1","35549429, 31892341"
Human,Esophagus,"CD8-positive, alpha-beta T cell","GNLY, GZMB, NKG7",34192657
Human,Esophagus,"Central memory CD4-positive, alpha-beta T cell","CCR7, CD4, SELL",35549406
Human,Esophagus,"Central memory CD8-positive, alpha-beta T cell","CCR7, CD8A, SELL",35549406
Human,Esophagus,Columnar/cuboidal epithelial cell,"KRT7, CDX2, KRT20","33287869, 35549429"
Human,Esophagus,Dendritic cell,"CCL17, CCL22, CCR7, CD1C, CPVL, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1, IDO1, ITGAE, ITGAM, ITGAX","34192657, 35549429, 32214235, 33691112"
Human,Esophagus,"Dendritic cell, human","CD1C, CLEC10A, FCER1A",35549406
Human,Esophagus,Duct epithelial cell,"KRT23, KRT7",31892341
Human,Esophagus,"Effector memory CD4-positive, alpha-beta T cell","AQP3, ITGB1, KLRB1",35549406
Human,Esophagus,"Effector memory CD8-positive, alpha-beta T cell","CCL5, CD8A, CXCR6, GZMK, ITGA1, ITGAE",35549406
Human,Esophagus,"Effector memory CD8-positive, alpha-beta T cell, terminally differentiated","CX3CR1, GNLY, GZMB",35549406
Human,Esophagus,Endothelial cell,"AQP1, EMCN, PECAM1, PLVAP, RAMP2, ACKR1, CAV1, CLDN5, CLEC14A, ECSCR, ENG, EPAS1, ICAM1, INSR, SELE, VWF","34192657, 33287869, 32214235, 31892341, 35472002"
Human,Esophagus,Endothelial cell of lymphatic vessel,"CCL21, LYVE1, FLT4, MMRN1, PDPN, PECAM1, PROX1","33287869, 35549429"
Human,Esophagus,Endothelial cell of vascular tree,"CDH5, CLDN5, EGFL7, PECAM1, PTPRB, VWF",35549429
Human,Esophagus,Epithelial cell,"SPRR3, CCL19, CNFN, CRCT1, CSTA, CSTB, DCLK1, FAM25A, KRT13, KRT15, KRT17, KRT8, LORICRIN, LOXL2, S100A2, S100A8, SPRR2A, SPRR2D","34192657, 35549429, 35549406, 35472002, 25283374, 29802404"
Human,Esophagus,Fat cell,"ADIPOQ, EBF1, FOXO1, LPIN1, PLIN1, PLIN2, PPARG",35549429
Human,Esophagus,Fibroblast,"DCN, COL1A2, FBLN1, COL1A1, COL6A1, COL6A2, COL6A3, FBN1, FN1, GSN, APOD, C1S, COL3A1, COL5A2, COL6A6, CPE, DDR2, FBLN2, FSTL1, LUM, MFAP4, MGP, NEGR1, PLPP3, PODN, PTGDS, RGS5, S100A4, SERPINF1","34192657, 33287869, 35549429, 32214235, 35472002"
Human,Esophagus,Follicular B cell,"MS4A1, CCR7, CD74, CXCR4, HLA-DQA2, JUND, S100A8",34192657
Human,Esophagus,Glandular epithelial cell,"KRT23, MUC5B, TFF3","31892341, 32199615"
Human,Esophagus,Goblet cell,"MUC2, MUC5AC, TFF3",35549429
Human,Esophagus,Helper T cell,CD4,35549429
Human,Esophagus,Interstitial cell of Cajal,"ANO1, EDN3, ETV1, KIT, PRKCQ",35549429
Human,Esophagus,Intestinal crypt stem cell,"DCLK1, OLFM4","21916995, 31283789"
Human,Esophagus,Keratinocyte,ECM1,"31892341, 32199615"
Human,Esophagus,Leydig cell,"CD34, PDGFRA",35549429
Human,Esophagus,Macrophage,"APOE, C1QA, C1QB, CD163, CD74, APOC1, CCL18, CD36, CD68, CPM, CSF1R, FCER1G, LYVE1, LYZ, MERTK, MR1, MRC1, MS4A4A, MS4A6A, MSR1, PTPRC, RBPJ, SLC11A1, SPP1","34192657, 33287869, 35549429, 32214235, 31892341"
Human,Esophagus,Mast cell,"TPSB2, CPA3, TPSAB1, CD69, CTSG, FCER1A, HDC, HPGDS, KIT, KRT1, LTC4S, NSMCE1, RGS13, SLC18A2, VWA5A","34192657, 35549429, 35549406, 32214235, 31892341, 34414188, 35472002"
Human,Esophagus,Mature NK T cell,"GNLY, GZMB, NKG7",34192657
Human,Esophagus,Memory B cell,"CR2, CD1C, CD24, CD27, CXCR3, FAS, MS4A1","35549429, 35549406"
Human,Esophagus,Merkel cell,KRT20,35549429
Human,Esophagus,Monocyte,"CD14, FCN1, AREG, CXCL8, GNLY, HCAR2, HCAR3, LYZ, NLRP3, S100A9, S100P, VCAN","34192657, 32214235, 31892341"
Human,Esophagus,Mononuclear phagocyte,"C1QC, HMOX1, TYROBP",35549406
